StockName,StockUrl,Status,Buy At,StopLoss
Anupam Finserv ,https://www.moneycontrol.com/tech_charts/bse/his/vfs01.csv,BUY,11.17,11.0
United Credit,https://www.moneycontrol.com/tech_charts/bse/his/ucf.csv,BUY,16.0,14.5
Escorts Finance,https://www.moneycontrol.com/tech_charts/bse/his/ef05.csv,BUY,1.73,1.57
NPR Finance,https://www.moneycontrol.com/tech_charts/bse/his/npr.csv,BUY,11.51,11.5
Paragon Finance,https://www.moneycontrol.com/tech_charts/bse/his/pf04.csv,BUY,11.37,10.83
Inter Globe Fin,https://www.moneycontrol.com/tech_charts/bse/his/igf01.csv,BUY,5.19,4.95
Inditrade Capit,https://www.moneycontrol.com/tech_charts/bse/his/jrg.csv,BUY,27.3,24.7
Almondz Global,https://www.moneycontrol.com/tech_charts/bse/his/as19.csv,BUY,19.8,19.0
BLB,https://www.moneycontrol.com/tech_charts/bse/his/blb.csv,BUY,3.47,3.35
Modex Intl Sec,https://www.moneycontrol.com/tech_charts/bse/his/mis02.csv,BUY,3.15,3.13
Comfort Comm,https://www.moneycontrol.com/tech_charts/bse/his/cc19.csv,BUY,1.21,1.2
Himalaya Food ,https://www.moneycontrol.com/tech_charts/bse/his/hi03.csv,BUY,7.1,6.6
Saptarishi Agro,https://www.moneycontrol.com/tech_charts/bse/his/sai02.csv,BUY,5.7,5.7
Tarai Foods,https://www.moneycontrol.com/tech_charts/bse/his/tf01.csv,BUY,4.63,4.41
National Oxygen,https://www.moneycontrol.com/tech_charts/bse/his/no.csv,BUY,30.95,30.9
Hind Nat Glass,https://www.moneycontrol.com/tech_charts/bse/his/hng01.csv,BUY,31.9,31.85
Banaras Beads,https://www.moneycontrol.com/tech_charts/bse/his/bb03.csv,BUY,30.65,29.75
UTI - Gold,https://www.moneycontrol.com/tech_charts/bse/his/uti18.csv,BUY,4224.1,4072.0
IDBI Gold ETF,https://www.moneycontrol.com/tech_charts/bse/his/idb05.csv,BUY,4540.0,4489.0
Arshiya,https://www.moneycontrol.com/tech_charts/bse/his/iid.csv,BUY,8.45,8.07
Lotus Eye Care,https://www.moneycontrol.com/tech_charts/bse/his/lec02.csv,BUY,23.9,23.55
Tejnaksh,https://www.moneycontrol.com/tech_charts/bse/his/th03.csv,BUY,38.2,36.4
Medinova Diag,https://www.moneycontrol.com/tech_charts/bse/his/mds.csv,BUY,15.57,14.1
