Company,Shortname,Link
LGB Forge,LGB01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/lgbforge/LGB01
Rama Steel Tube,RST,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/ramasteeltubes/RST
Bhagwati Auto,BA01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/bhagwatiautocast/BA01
Rajkumar Forge,RF03,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/rajkumarforge/RF03
Metalyst Forgin,AF01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/metalystforgings/AF01
Sibar Auto,SAP01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sibarautoparts/SAP01
Porwal Auto,PAC02,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/porwalautocomponents/PAC02
Hilton Metal,HMF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/hiltonmetalforging/HMF
Smiths & Found,SF08,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/smithsfounders/SF08
Setco Auto,GSC01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/setcoautomotive/SA14
Cummins,CI02,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
Swaraj Engines,SE,https://www.moneycontrol.com/india/stockpricequote/engines/swarajengines/SE
India Nippon,INE,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/indianipponelectricals/INE
Rane Engine,REV,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raneenginevalves/REV
JTEKT India ,SSS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jtektindia/SKS04
LG Balakrishnan,LGB,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lgbalakrishnanbrothers/LGB
Shanthi Gears,SG04,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shanthigears/SG04
ZF Steering Gea,ZFS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/zfsteeringgearindia/ZFS
Rane Madras,RM07,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranemadras/RM08
The Hi-Tech Gea,HTG,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/thehitechgears/HTG
Shivam Auto,SA12,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shivamautotech/SA13
JMT Auto,JMT,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jmtauto/JMT02
RACL Geartech,RAC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raunaqautomotivecomponents/RAC
Him Teknoforge ,GAG,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/himteknoforge/GAG
Bharat Gears,BG01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bharatgears/BG01
Gajra Bevel Gea,GBG,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gajrabevelgears/GBG
Minda Ind,MI44,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindaindustries/MI4
Lumax Inds,LI05,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxindustries/LI05
FIEM Ind,FIE,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fiemindustries/FIE
Autolite India,AI31,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autoliteindia/AI31
Jagan Litech,JLL,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaganlitechlamps/JLL
WABCO India,WAB,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB
Endurance Techn,ET04,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
Suprajit Eng,SE15,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15
Minda Corp,MC22,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindacorporation/MC23
Banco Products,BPI,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproductsindia/BPI
Lumax Auto Tech,LAT,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01
Munjal Auto Ind,GC10,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04
Munjal Showa,MS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalshowa/MS
Alicon Castallo,PC02,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
PPAP Automotive,PPP03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ppapautomotive/PPP03
Jay Ushin,JY,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jayushin/JU
Commercial Eng,CEB,https://www.moneycontrol.com/india/stockpricequote/engineering/commercialengineersbodybuildersco/CEB
Remsons Ind,RI10,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/remsonsindustries/RI10
Federal-Mogul,GI09,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/federalmogulgoetze/FMG
Samkrg Pistons,SP21,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/samkrgpistonsrings/SPR01
Menon Pistons,MP18,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/menonpistons/MP18
IP Rings,IPR,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/iprings/IPR
Harita Seating,HSS02,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02
Bharat Seats,BS03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bharatseats/BS03
Jay BharatMarut,JBM,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaybharatmaruti/JBM
Omax Autos,OA,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/omaxautos/OA
Autoline Ind,AI59,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autolineindustries/AI59
Rasandik Engg,REI02,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/rasandikengineeringindustriesindia/REI02
Gabriel India,GI02,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gabrielindia/GI02
JBM Auto,JBM03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jbmauto/JBM03
Sharda Motor,SMI04,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shardamotorindustries/SMI04
IST Ltd,IST,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ist/IST
Rico Auto,RA04,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ricoauto/RA04
Precision Camsh,PC24,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/precisioncamshafts/PC16
UCAL Fuel,UFS,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
Talbros Auto,TAC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/talbrosautomotivecomponents/TAC
Auto Stampings,JBM01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotivestampingsassemblies/ASA01
Castex Tech,AI49,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/castextechnologies/AI49
Jamna Auto,JAI,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
MRF,MRF,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF
Balkrishna Ind,BI03,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
Apollo Tyres,AT,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Ceat,C07,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
Goodyear,GI11,https://www.moneycontrol.com/india/stockpricequote/tyres/goodyearindia/GI11
JK Tyre & Ind,JKI,https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
TVS Srichakra,TVS03,https://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03
Indag Rubber,IR,https://www.moneycontrol.com/india/stockpricequote/rubber/indagrubber/IR
Pix Transmis,PT01,https://www.moneycontrol.com/india/stockpricequote/rubber/pixtransmissions/PT07
Rubfila Intl,RI21,https://www.moneycontrol.com/india/stockpricequote/rubber/rubfilainternational/RI21
GRP,GRR,https://www.moneycontrol.com/india/stockpricequote/rubber/grp/GRR
Modi Rubber,MR01,https://www.moneycontrol.com/india/stockpricequote/tyres/modirubber/MR01
Somi Conveyor,SCB,https://www.moneycontrol.com/india/stockpricequote/rubber/somiconveyorbeltings/SCB
Krypton,KI14,https://www.moneycontrol.com/india/stockpricequote/tyres/kryptonindustries/KI14
Eastern Treads,ET,https://www.moneycontrol.com/india/stockpricequote/rubber/easterntreads/ET
